t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1556558144,50,1.000000,0.045312,0.000000,0.207987,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.295023,0.365929,0.133965,0.050208,calls/second,milliseconds
1556558147,51,1.000000,0.043457,0.000000,0.203883,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.295689,0.368653,0.138362,0.052145,calls/second,milliseconds
1556558150,52,1.000000,0.041672,0.000000,0.199838,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.296331,0.371160,0.142687,0.054073,calls/second,milliseconds
1556558153,54,1.000000,0.038351,0.000000,0.192043,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.302555,0.371160,0.142687,0.054073,calls/second,milliseconds
1556558156,55,1.000000,0.036806,0.000000,0.188285,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.303047,0.373466,0.146940,0.055989,calls/second,milliseconds
1556558159,56,1.000000,0.035339,0.000000,0.184635,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.303543,0.373466,0.146940,0.055989,calls/second,milliseconds
1556558162,57,1.000000,0.033924,0.000000,0.181035,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.304037,0.375587,0.151123,0.057895,calls/second,milliseconds
1556558165,59,1.000000,0.031303,0.000000,0.174135,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.309749,0.393530,0.158542,0.060898,calls/second,milliseconds
1556558168,60,1.000000,0.030069,0.000000,0.170778,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.310114,0.393530,0.158542,0.060898,calls/second,milliseconds
1556558171,61,1.000000,0.028896,0.000000,0.167514,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.310468,0.394048,0.162533,0.062777,calls/second,milliseconds
1556558174,63,1.000000,0.026699,0.000000,0.161203,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.315815,0.394048,0.162533,0.062777,calls/second,milliseconds
