t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1556559138,1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.024896,0.015991,0.003306,0.001108,calls/second,milliseconds
1556559141,2,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.046418,0.015991,0.003306,0.001108,calls/second,milliseconds
1556559144,4,1.000000,0.483167,0.000000,0.499717,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.086815,0.046695,0.009862,0.003318,calls/second,milliseconds
1556559147,5,1.000000,0.379143,0.000000,0.485174,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.101878,0.046695,0.009862,0.003318,calls/second,milliseconds
1556559150,6,1.000000,0.310302,0.000000,0.462617,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.115195,0.074943,0.016311,0.005516,calls/second,milliseconds
1556559153,7,1.000000,0.261395,0.000000,0.439394,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.127107,0.100934,0.022653,0.007701,calls/second,milliseconds
1556559156,9,1.000000,0.195838,0.000000,0.396844,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.154951,0.100934,0.022653,0.007701,calls/second,milliseconds
1556559159,10,1.000000,0.173131,0.000000,0.378360,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.163719,0.140837,0.032195,0.010983,calls/second,milliseconds
1556559162,11,1.000000,0.154404,0.000000,0.361335,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.171650,0.140837,0.032195,0.010983,calls/second,milliseconds
1556559165,13,1.000000,0.125909,0.000000,0.331746,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.193825,0.161558,0.038275,0.013138,calls/second,milliseconds
1556559168,14,1.000000,0.203902,0.000000,0.402897,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.199796,0.180623,0.044253,0.015281,calls/second,milliseconds
1556559171,15,1.000000,0.186733,0.000000,0.389697,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.205249,0.180623,0.044253,0.015281,calls/second,milliseconds
1556559174,16,1.000000,0.171824,0.000000,0.377227,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.210330,0.198163,0.050133,0.017412,calls/second,milliseconds
1556559177,18,1.000000,0.146912,0.000000,0.354018,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.227630,0.198163,0.050133,0.017412,calls/second,milliseconds
1556559180,19,1.000000,0.136558,0.000000,0.343380,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.231498,0.214301,0.055916,0.019532,calls/second,milliseconds
1556559183,20,1.000000,0.127182,0.000000,0.333176,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.235072,0.229149,0.061603,0.021640,calls/second,milliseconds
1556559186,22,1.000000,0.174954,0.000000,0.379928,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.249791,0.229149,0.061603,0.021640,calls/second,milliseconds
1556559189,23,1.000000,0.226531,0.000000,0.418586,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.252532,0.242810,0.067197,0.023736,calls/second,milliseconds
1556559192,24,1.000000,0.273340,0.000000,0.445674,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.255121,0.242810,0.067197,0.023736,calls/second,milliseconds
1556559195,25,1.000000,0.257295,0.000000,0.437143,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.257544,0.271369,0.076003,0.026929,calls/second,milliseconds
1556559198,27,1.000000,0.228772,0.000000,0.420042,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.269810,0.281654,0.081358,0.028996,calls/second,milliseconds
1556559201,28,1.000000,0.271032,0.000000,0.444493,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.271648,0.281654,0.081358,0.028996,calls/second,milliseconds
1556559204,29,1.000000,0.310550,0.000000,0.462719,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.273407,0.291116,0.086625,0.031051,calls/second,milliseconds
1556559207,31,1.000000,0.278914,0.000000,0.448465,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.284227,0.291116,0.086625,0.031051,calls/second,milliseconds
1556559210,32,1.000000,0.264605,0.000000,0.441123,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.285522,0.299822,0.091805,0.033095,calls/second,milliseconds
1556559213,33,1.000000,0.251319,0.000000,0.433771,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.286767,0.307832,0.096899,0.035128,calls/second,milliseconds
1556559216,34,1.000000,0.238955,0.000000,0.426445,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.287962,0.307832,0.096899,0.035128,calls/second,milliseconds
1556559219,36,1.000000,0.216349,0.000000,0.411755,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.297345,0.315201,0.101908,0.037149,calls/second,milliseconds
1556559222,37,1.000000,0.206150,0.000000,0.404540,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.298182,0.315201,0.101908,0.037149,calls/second,milliseconds
1556559225,38,1.000000,0.196463,0.000000,0.397322,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.299020,0.321981,0.106836,0.039159,calls/second,milliseconds
1556559228,40,1.000000,0.178875,0.000000,0.383248,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.307530,0.344210,0.114987,0.042267,calls/second,milliseconds
1556559231,41,1.000000,0.170760,0.000000,0.376299,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.308081,0.344210,0.114987,0.042267,calls/second,milliseconds
1556559234,42,1.000000,0.163134,0.000000,0.369487,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.308642,0.348671,0.119698,0.044248,calls/second,milliseconds
1556559237,43,1.000000,0.200484,0.000000,0.400363,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.309171,0.348671,0.119698,0.044248,calls/second,milliseconds
1556559240,45,1.000000,0.183362,0.000000,0.386963,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.316740,0.352775,0.124331,0.046219,calls/second,milliseconds
1556559243,46,1.000000,0.218781,0.000000,0.413420,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.317070,0.356551,0.128887,0.048179,calls/second,milliseconds
1556559246,47,1.000000,0.252203,0.000000,0.434277,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.317371,0.356551,0.128887,0.048179,calls/second,milliseconds
1556559249,49,1.000000,0.273635,0.000000,0.445824,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.324345,0.360025,0.133368,0.050128,calls/second,milliseconds
1556559252,50,1.000000,0.303972,0.000000,0.459971,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.324523,0.360025,0.133368,0.050128,calls/second,milliseconds
1556559255,51,1.000000,0.332692,0.000000,0.471177,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.324691,0.363221,0.137775,0.052067,calls/second,milliseconds
1556559258,52,1.000000,0.360302,0.000000,0.480088,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.324856,0.366162,0.142109,0.053994,calls/second,milliseconds
1556559261,54,1.000000,0.331596,0.000000,0.470787,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.331141,0.366162,0.142109,0.053994,calls/second,milliseconds
1556559264,55,1.000000,0.358719,0.000000,0.479624,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.331183,0.368867,0.146372,0.055911,calls/second,milliseconds
1556559267,56,1.000000,0.384457,0.000000,0.486467,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.331219,0.368867,0.146372,0.055911,calls/second,milliseconds
1556559270,58,1.000000,0.354462,0.000000,0.478350,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.337073,0.387348,0.153870,0.058926,calls/second,milliseconds
1556559273,59,1.000000,0.340469,0.000000,0.473867,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.337006,0.388359,0.157938,0.060815,calls/second,milliseconds
1556559276,60,1.000000,0.327159,0.000000,0.469176,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.336921,0.388359,0.157938,0.060815,calls/second,milliseconds
1556559279,61,1.000000,0.353591,0.000000,0.478084,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.336866,0.389290,0.161939,0.062694,calls/second,milliseconds
1556559282,63,1.000000,0.326736,0.000000,0.469020,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.342260,0.389290,0.161939,0.062694,calls/second,milliseconds
1556559285,64,1.000000,0.352829,0.000000,0.477850,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.342096,0.390146,0.165874,0.064563,calls/second,milliseconds
1556559288,65,1.000000,0.339279,0.000000,0.473465,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.341959,0.390934,0.169743,0.066422,calls/second,milliseconds
1556559291,67,1.000000,0.313867,0.000000,0.464063,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.347026,0.390934,0.169743,0.066422,calls/second,milliseconds
1556559294,68,1.000000,0.301952,0.000000,0.459104,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.346798,0.391659,0.173549,0.068270,calls/second,milliseconds
